Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
29,Scottie Barnes,SG,22,TOR,60,60,2094,447,942,0.475,101,296,0.341,346,646,0.536,0.528,196,251,0.781,141,353,494,363,75,88,165,118,1191
30,RJ Barrett,SG,23,TOT,53,53,1675,385,788,0.489,86,233,0.369,299,555,0.539,0.543,180,254,0.709,46,233,279,171,28,20,107,114,1036
30,RJ Barrett,SG,23,NYK,26,26,766,164,388,0.423,43,130,0.331,121,258,0.469,0.478,103,124,0.831,19,92,111,63,12,9,47,45,474
30,RJ Barrett,SG,23,TOR,27,27,909,221,400,0.553,43,103,0.417,178,297,0.599,0.606,77,130,0.592,27,141,168,108,16,11,60,69,562
31,Charles Bassey,C,23,SAS,19,0,205,29,40,0.725,0,1,0,29,39,0.744,0.725,5,6,0.833,23,53,76,21,8,17,15,31,63
32,Emoni Bates,SF,20,CLE,13,0,102,12,37,0.324,9,28,0.321,3,9,0.333,0.446,1,4,0.25,1,10,11,7,1,2,2,5,34
33,Keita Bates-Diop,SF,28,TOT,53,8,665,72,166,0.434,21,69,0.304,51,97,0.526,0.497,32,42,0.762,31,79,110,38,25,22,15,35,197
33,Keita Bates-Diop,SF,28,PHO,39,8,597,64,150,0.427,20,64,0.313,44,86,0.512,0.493,26,36,0.722,30,71,101,34,22,20,13,33,174
33,Keita Bates-Diop,SF,28,BRK,14,0,68,8,16,0.5,1,5,0.2,7,11,0.636,0.531,6,6,1,1,8,9,4,3,2,2,2,23
34,Nicolas Batum,PF,35,TOT,53,34,1321,104,221,0.471,65,158,0.411,39,63,0.619,0.618,15,21,0.714,66,154,220,110,40,35,34,99,288
34,Nicolas Batum,PF,35,LAC,3,0,54,3,8,0.375,2,7,0.286,1,1,1,0.5,0,0,,0,7,7,5,3,4,1,5,8
34,Nicolas Batum,PF,35,PHI,50,34,1267,101,213,0.474,63,151,0.417,38,62,0.613,0.622,15,21,0.714,66,147,213,105,37,31,33,94,280
35,Darius Bazley,PF,23,PHI,3,0,10,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,2,0,0,1,0,0
36,Bradley Beal,SG,30,PHO,45,45,1485,312,626,0.498,76,199,0.382,236,427,0.553,0.559,96,121,0.793,40,144,184,229,43,17,113,106,796
37,Malik Beasley,SG,27,MIL,71,71,2122,297,654,0.454,210,492,0.427,87,162,0.537,0.615,24,34,0.706,40,229,269,97,55,9,50,145,828
38,MarJon Beauchamp,SF,23,MIL,46,1,593,75,157,0.478,28,72,0.389,47,85,0.553,0.567,19,28,0.679,22,74,96,30,12,6,27,53,197
