player,pos,age,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
Amen Thompson,SF,21,55,16,1177,205,389,0.527,8,56,0.143,197,333,0.592,0.537,89,131,0.679,122,227,349,131,67,34,78,127,507
Ausar Thompson,SF,21,63,38,1583,232,480,0.483,21,113,0.186,211,367,0.575,0.505,71,119,0.597,129,273,402,120,68,59,84,175,556
Klay Thompson,SF,33,70,56,2075,432,1016,0.425,237,621,0.382,195,395,0.494,0.542,112,122,0.918,32,199,231,157,43,31,105,117,1213
Tristan Thompson,C,32,45,0,532,70,111,0.631,0,1,0,70,110,0.636,0.631,15,50,0.3,71,98,169,51,12,14,29,59,155
JT Thor,PF,21,56,1,660,59,155,0.381,23,70,0.329,36,85,0.424,0.455,7,13,0.538,39,81,120,23,8,21,13,50,148
Matisse Thybulle,SF,26,65,19,1487,126,317,0.397,80,231,0.346,46,86,0.535,0.524,22,29,0.759,30,106,136,90,113,49,40,93,354
Xavier Tillman Sr.,C-PF,25,47,14,890,105,250,0.42,15,70,0.214,90,180,0.5,0.45,22,49,0.449,67,130,197,69,47,40,32,70,247
Xavier Tillman Sr.,C,25,34,13,700,87,213,0.408,12,53,0.226,75,160,0.469,0.437,18,43,0.419,56,101,157,57,42,35,29,60,204
Xavier Tillman Sr.,PF,25,13,1,190,18,37,0.486,3,17,0.176,15,20,0.75,0.527,4,6,0.667,11,29,40,12,5,5,3,10,43
Jacob Toppin,SF,23,9,0,38,5,9,0.556,1,4,0.25,4,5,0.8,0.611,2,2,1,3,4,7,3,0,1,1,3,13
Obi Toppin,PF,25,75,28,1601,294,516,0.57,90,224,0.402,204,292,0.699,0.657,69,91,0.758,76,211,287,110,39,37,62,130,747
Karl-Anthony Towns,PF,28,60,60,1969,472,932,0.506,134,317,0.423,338,615,0.55,0.578,250,286,0.874,91,413,504,179,43,40,169,198,1328
Gary Trent Jr.,SG,25,66,36,1835,325,763,0.426,165,412,0.4,160,351,0.456,0.534,67,87,0.77,23,145,168,105,68,10,41,86,882
