player,pos,age,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
Lonnie Walker IV,SG,25,53,0,892,188,438,0.429,97,245,0.396,91,193,0.472,0.54,42,55,0.764,10,96,106,64,29,15,47,67,515
Cason Wallace,SG,20,74,10,1528,197,393,0.501,91,213,0.427,106,180,0.589,0.617,25,33,0.758,47,122,169,102,60,32,38,118,510
T.J. Warren,SF,30,8,0,106,13,34,0.382,2,11,0.182,11,23,0.478,0.412,1,2,0.5,5,12,17,7,3,1,4,11,29
P.J. Washington,PF,25,66,38,1988,314,725,0.433,114,365,0.312,200,360,0.556,0.512,90,131,0.687,79,285,364,127,59,52,85,159,832
P.J. Washington,PF,25,44,17,1286,227,509,0.446,79,244,0.324,148,265,0.558,0.524,67,94,0.713,53,179,232,97,38,32,66,112,600
P.J. Washington,PF,25,22,21,702,87,216,0.403,35,121,0.289,52,95,0.547,0.484,23,37,0.622,26,106,132,30,21,20,19,47,232
Yuta Watanabe,SF,29,34,0,464,41,116,0.353,25,85,0.294,16,31,0.516,0.461,10,17,0.588,11,43,54,15,12,7,19,39,117
Yuta Watanabe,SF,29,29,0,382,35,97,0.361,24,75,0.32,11,22,0.5,0.485,10,15,0.667,11,34,45,10,9,7,16,34,104
Yuta Watanabe,SF,29,5,0,82,6,19,0.316,1,10,0.1,5,9,0.556,0.342,0,2,0,0,9,9,5,3,0,3,5,13
Lindy Waters III,SG,26,31,0,199,28,69,0.406,25,60,0.417,3,9,0.333,0.587,1,1,1,4,26,30,16,2,5,6,19,82
Trendon Watford,PF,23,56,0,670,133,247,0.538,22,55,0.4,111,192,0.578,0.583,59,69,0.855,46,108,154,65,21,16,42,88,347
Peyton Watson,SF,21,73,4,1329,188,407,0.462,43,144,0.299,145,263,0.551,0.515,66,98,0.673,49,173,222,73,39,72,53,127,485
Victor Wembanyama,C,20,66,66,1928,505,1079,0.468,113,350,0.323,392,729,0.538,0.52,274,343,0.799,149,542,691,240,85,226,239,146,1397
Blake Wesley,SG,20,54,1,730,84,174,0.483,8,42,0.19,76,132,0.576,0.506,44,66,0.667,16,60,76,144,26,9,40,78,220
Russell Westbrook,PG,35,62,10,1386,270,599,0.451,37,142,0.261,233,457,0.51,0.482,100,147,0.68,88,220,308,274,68,21,125,106,677
Coby White,PG,23,72,71,2641,491,1102,0.446,200,520,0.385,291,582,0.5,0.536,204,243,0.84,41,297,338,376,48,17,154,170,1386
Derrick White,SG,29,68,68,2223,369,791,0.466,184,459,0.401,185,332,0.557,0.583,132,147,0.898,48,245,293,352,69,84,106,140,1054
Cam Whitmore,SF,19,39,1,700,175,378,0.463,63,175,0.36,112,203,0.552,0.546,60,92,0.652,37,115,152,19,26,11,36,49,473
Aaron Wiggins,SG,25,70,1,1037,172,298,0.577,54,109,0.495,118,189,0.624,0.668,42,55,0.764,55,108,163,66,41,16,48,75,440
Andrew Wiggins,SF,28,65,53,1753,319,707,0.451,79,222,0.356,240,485,0.495,0.507,120,163,0.736,103,192,295,111,38,35,77,135,837
Lindell Wigginton,PG,25,3,0,8,2,5,0.4,0,2,0,2,3,0.667,0.4,2,2,1,0,0,0,0,0,0,1,1,6
Alondes Williams,SG,24,4,0,11,1,4,0.25,0,2,0,1,2,0.5,0.25,1,1,1,0,1,1,0,0,0,1,0,3
Brandon Williams,PG,24,12,0,59,8,22,0.364,2,6,0.333,6,16,0.375,0.409,6,11,0.545,3,4,7,12,1,1,3,2,24
Grant Williams,PF,25,70,37,1928,241,542,0.445,115,315,0.365,126,227,0.555,0.551,94,125,0.752,79,207,286,140,41,37,98,205,691
Grant Williams,PF,25,47,33,1242,131,317,0.413,79,210,0.376,52,107,0.486,0.538,41,55,0.745,46,123,169,81,24,27,53,137,382
Grant Williams,PF,25,23,4,686,110,225,0.489,36,105,0.343,74,120,0.617,0.569,53,70,0.757,33,84,117,59,17,10,45,68,309
Jalen Williams,PF,22,67,67,2124,515,953,0.54,100,232,0.431,415,721,0.576,0.593,178,219,0.813,37,230,267,308,75,43,119,173,1308
Jaylin Williams,C,21,61,0,768,77,191,0.403,46,123,0.374,31,68,0.456,0.524,26,32,0.813,31,173,204,83,24,25,28,87,226
Jeenathan Williams,SG,24,18,0,99,18,36,0.5,1,4,0.25,17,32,0.531,0.514,7,10,0.7,10,6,16,7,3,0,2,10,44
Kenrich Williams,PF,29,61,1,881,108,234,0.462,47,124,0.379,61,110,0.555,0.562,5,12,0.417,56,129,185,77,35,8,20,88,268
Patrick Williams,PF,22,43,30,1174,159,359,0.443,59,148,0.399,100,211,0.474,0.525,52,66,0.788,46,120,166,66,40,33,57,87,429
Vince Williams Jr.,SG,23,52,33,1436,169,379,0.446,79,209,0.378,90,170,0.529,0.55,104,130,0.8,59,231,290,175,47,34,92,135,521
Ziaire Williams,SF,22,51,15,1038,150,378,0.397,58,189,0.307,92,189,0.487,0.474,62,75,0.827,35,145,180,75,36,9,66,85,420
Zion Williamson,PF,23,63,63,1966,561,959,0.585,5,14,0.357,556,945,0.588,0.588,309,444,0.696,112,258,370,315,61,38,172,144,1436
Jalen Wilson,PF,23,36,2,496,57,133,0.429,18,53,0.34,39,80,0.488,0.496,29,32,0.906,37,57,94,37,7,1,14,37,161
James Wiseman,C,22,55,3,887,161,252,0.639,0,2,0,161,250,0.644,0.639,60,85,0.706,92,182,274,45,9,33,57,123,382
Christian Wood,PF,28,50,1,872,123,264,0.466,35,114,0.307,88,150,0.587,0.532,66,94,0.702,39,215,254,49,16,33,50,72,347
Delon Wright,PG,31,44,1,674,65,173,0.376,20,58,0.345,45,115,0.391,0.434,35,43,0.814,17,62,79,108,48,10,12,29,185
Delon Wright,PG,31,33,0,456,48,122,0.393,14,38,0.368,34,84,0.405,0.451,24,29,0.828,13,46,59,82,35,8,11,22,134
Delon Wright,PG,31,11,1,218,17,51,0.333,6,20,0.3,11,31,0.355,0.392,11,14,0.786,4,16,20,26,13,2,1,7,51
Thaddeus Young,PF,35,29,6,407,63,103,0.612,1,6,0.167,62,97,0.639,0.617,5,14,0.357,42,55,97,55,21,5,13,43,132
Thaddeus Young,PF,35,23,6,350,54,87,0.621,1,6,0.167,53,81,0.654,0.626,5,12,0.417,29,46,75,50,18,3,11,38,114
Trae Young,PG,25,51,51,1862,418,982,0.426,169,456,0.371,249,526,0.473,0.512,339,396,0.856,22,118,140,553,70,11,220,106,1344
Omer Yurtseven,C,25,41,6,376,64,118,0.542,5,19,0.263,59,99,0.596,0.564,13,21,0.619,50,94,144,19,5,17,27,45,146
Cody Zeller,C,31,40,0,304,25,60,0.417,1,3,0.333,24,57,0.421,0.425,23,38,0.605,47,62,109,36,9,5,15,42,74
